content,pubTime,title
　　受灾地区已启动应急响应，积极统筹谋划、细化措施、科学应对，全力做好险情巡查抢护、水毁设施抢修抢通、人员转移安置等工作。国家防总、自然资源部、应急管理部已派出工作组赴防汛第一线，督促指导地方开展防汛抢险救灾工作。/n　　中共中央总书记、国家主席、中央军委主席习近平对当前汛情高度重视并作出重要指示，近期全国部分地区出现强降雨，四川、陕西、甘肃等地一些河流出现超警水位，有些地方洪涝灾害严重，有的地方引发山体滑坡等地质灾害，造成人员伤亡和财产损失。习近平强调，当前，正值洪涝、台风等自然灾害多发季节，相关地区党委和政府要牢固树立以人民为中心的思想，全力组织开展抢险救灾工作，最大限度减少人员伤亡，妥善安排好受灾群众生活，最大程度降低灾害损失。要加强应急值守，全面落实工作责任，细化预案措施，确保灾情能够快速处置。要加强气象、洪涝、地质灾害监测预警，紧盯各类重点隐患区域，开展拉网式排查，严防各类灾害和次生灾害发生。国家防总、自然资源部、应急管理部等相关部门要统筹协调各方力量和资源，指导地方开展抢险救灾工作，全力保障人民群众生命财产安全和社会稳定。/n　　新华社北京7月19日电 7月以来，我国多地出现大到暴雨，长江发生2次编号洪水，嘉陵江上游、涪江上游、沱江上游发生特大洪水，大渡河上中游发生大洪水，黄河发生1次编号洪水，部分中小河流发生超警以上洪水。今年截至7月18日，我国已有27个省（区、市）遭受洪涝灾害，造成2053万人、1759千公顷农作物受灾，因灾死亡54人、失踪8人，倒塌房屋2.3万间，直接经济损失约516亿元。/n全力保障人民群众生命财产安全/n落实工作责任 严防灾害发生/n要求牢固树立以人民为中心的思想/n习近平对防汛抢险救灾工作作出重要指示/n,2018-09-11,习近平对防汛抢险救灾工作作出重要指示
　　世界公众科学素质促进大会以“科学素质与人类命运共同体”为主题。来自23个国际科技组织、38个国家的58个国别科技组织和机构的代表以及境内有关方面代表1000余人参加大会。/n　　全国政协副主席、中国科协主席万钢陪同参加上述活动。/n　　会前，王沪宁会见了出席大会的重要外宾代表。/n　　联合国秘书长古特雷斯向大会发来贺信。联合国教科文组织代表、世界知识产权组织代表、世界工程组织联合会主席分别在开幕式上致辞。/n　　王沪宁表示，当今时代，开放合作是科技发展的助推器，科技发展带来的新挑战需要人类共同应对，科技创新必须扎根在公众科学素质和能力不断增强的沃土中。中国愿意为增强世界公众科学素质贡献力量，积极同各国开展科普交流，为增强公众科学素质、促进科学成果共享、推动构建人类命运共同体而携手努力。/n　　王沪宁表示，习近平主席专门发来贺信，充分肯定本次大会的重要意义，高度评价增强公众科学素质对构建人类命运共同体的重要作用，体现了对增强公众科学素质的高度重视。习近平主席历来高度重视科技创新和科技事业，强调科技创新有赖公众科学素质的提升，要把科学普及放在与科技创新同等重要的位置，普及科学知识、弘扬科学精神、传播科学思想、倡导科学方法。中国高度重视科学普及，颁布了科学技术普及法，为中国人民提供了便捷的科普服务。/n    新华社北京9月17日电　世界公众科学素质促进大会17日上午在北京开幕。中共中央政治局常委、中央书记处书记王沪宁出席开幕式，宣读习近平主席的贺信并致辞。/n#http://www.ches.org.cn/ches/hyxw_22318/201809/W020180919293216746884.jpg,2018-09-19,世界公众科学素质促进大会在北京开幕王沪宁宣读习近平主席贺信并致辞
　　部办公厅、规计司、政法司、水资源司、财务司、人事司、建管司、水保司、农水司、水文司等水利部考核工作领导小组成员单位负责同志，流域管理机构及相关直属单位负责人参加会议。/n　　会议要求下一步要继续做好2017年度考核现场检查工作。要正确把握考核导向，以党和国家确定的总体部署和要求为指引，把准方向、聚焦问题、考核问责，重点关注“节水优先”方针是否落实，水资源消耗总量和强度双控目标是否实现，生态优先绿色发展理念是否践行，水资源管理责任制是否建立；要将最严格的要求贯穿现场检查全过程，增强考核工作的严肃性和权威性;要做好现场检查前期准备，细化任务分工，明确时间节点，落实责任到人；要严格现场检查工作纪律，确保检查的真实性和权威性。/n　　会议指出，近年来在考核工作组各成员单位的大力支持、通力协作下，实行最严格水资源管理制度取得积极成效，全国水资源管理目标全面完成，制度体系逐步健全，责任体系基本建立，管理水平明显提升。特别是“十三五”最严格水资源管理制度考核实施以来，进一步优化顶层设计，圆满完成“十三五”首次年度考核，充分发挥了考核的指挥棒作用。同时，考核发现问题依然不少，水资源管理短板仍然存在。为更好解决这些问题，我们必须树立底线思维，坚持问题导向，通过最严格考核立好规矩、强化监管、推动工作，实现党中央提出的水资源可持续利用支撑经济社会可持续发展目标。/n　　5月4日，水利部在北京召开实行最严格水资源管理制度考核工作组第七次会议，会议通报了2017年度实行最严格水资源管理制度考核工作进展情况，听取了7个流域管理机构前期技术核查情况汇报。水利部副部长周学文主持会议并讲话。国家发展改革委、工业和信息化部、财政部、自然资源部、生态环境部、住房城乡建设部、农业农村部、国家统计局等考核工作组成员单位代表参加会议。/n,2018-05-04,水利部召开实行最严格水资源管理制度考核工作组第七次会议
　　安徽、江西、湖北、贵州和陕西省防汛抗旱指挥部，以及中国长江三峡集团公司负责同志在会上作交流发言。住房和城乡建设部、交通运输部、农业农村部、应急管理部、国家能源局有关负责同志，国家电网公司、中国华能集团公司、中国大唐集团公司、中国华电集团公司、国家电力投资集团公司、中国长江三峡集团公司、国家能源集团负责同志，国家防办和水利部有关司局负责同志在主会场参加会议。各省、自治区、直辖市和新疆生产建设兵团防汛抗旱指挥部领导及有关成员单位负责同志，各流域防汛抗旱总指挥部和流域机构直管大型水库，以及中国南方电网公司负责同志在分会场参加会议。/n　　鄂竟平要求，各地各部门要加强监管，全力落实好水库安全度汛责任。各级水利、能源、建设、交通、农业等部门要按照《水库大坝安全管理条例》的有关规定，切实履行好监督管理职责。水利部要进一步强化对水库安全度汛的监管，从6月1日开始，采取不发通知、不打招呼、不听汇报、不用陪同接待，直奔现场、直面责任人的方式，重点督查三类责任人的落实和在岗情况。对监督暗访查出的问题，书面通知所在省（自治区、直辖市）限时整改。/n　　鄂竟平强调，2018年是贯彻党的十九大精神的开局之年，是改革开放40周年，各级防汛抗旱指挥机构必须从讲政治的高度，以对党、国家和人民高度负责的态度，把保障人民群众生命安全放在首位，把水库安全度汛作为重中之重，把小水库安全作为关键要害，坚持问题导向，进一步找准风险隐患，以务实的精神、务实的作风、务实的措施，抓好今年水库安全度汛工作，力争不垮坝，确保不死人。一是确保所有水库具备预测预报能力。要想方设法，保证每座水库都具有雨水情预测预报的能力，5月底前落实到位。大型水库、水电站要提高预测预报的预见期和精准度，保障工程自身安全的同时，为防御江河洪水承担更多拦洪错峰任务。二是确保所有水库具有运行调度方案。没有运行调度方案的水库要因地制宜，实用为主，5月底前逐库制定运行调度方案；已有运行调度方案的要抓紧时间梳理完善，着力提高方案的针对性、实用性和可操作性；要做好运行调度方案的模拟演练，达到检验方案、完善准备、锻炼队伍的作用，提高防洪运行调度能力。三是确保所有水库具有抢险应急预案。要全力做好水库抢险应急预案编制工作，决不允许任何一个水库没有抢险应急预案，5月底前分级负责，全部编制完成，切实落实水库遭遇不同量级洪水突发事件时的防洪抢险调度和险情抢护措施，力保水库工程安全，确保下游人民群众生命安全，最大程度减少洪水灾害损失。四是确保所有水库责任人员落实到位。要逐库落实好水库安全度汛行政责任人、技术责任人和巡查责任人，这是确保水库安全度汛的要害措施。5月底前，所有水库要全部完成责任人落实。/n　　鄂竟平指出，近年来，在党中央、国务院的坚强领导下，在国家防总、各流域防总和地方各级党委、政府及防汛抗旱指挥部的共同努力下，水库安全度汛工作取得了显著成绩，保障了人民群众生命财产安全和水库工程安全，充分发挥了防洪减灾和蓄水兴利综合效益，为经济社会持续健康发展提供了有力保障。与此同时，水库安全度汛还存在不少制约因素和薄弱环节，要充分认识今年水库安全度汛面临的严峻形势，扎扎实实做好水库安全度汛工作。/n　　5月10日，国家防总召开2018年全国水库安全度汛视频会议，深入贯彻落实习近平总书记、李克强总理重要指示批示精神，按照胡春华副总理在全国国土绿化、森林防火和防汛抗旱工作电视电话会议上的讲话要求，分析研判2018年水库安全度汛形势，进一步安排部署水库安全度汛工作。水利部部长鄂竟平出席会议并讲话，水利部副部长、应急管理部副部长叶建春主持会议。/n,2018-07-02,国家防总召开专题视频会议 安排部署2018年全国水库安全度汛工作
　　江苏、宁夏、甘肃、陕西、湖北、河南省（自治区）水利厅、自然资源主管部门和相关市县负责同志，长委、黄委、淮委负责同志，水利部、自然资源部有关司局和单位负责同志参加了会议。/n　　王广华要求，要充分认识水流产权确权对推进生态文明建设的重要作用。各试点地区要根据试点方案目标任务要求，稳步推进、如期完成试点工作任务。要发扬创新精神，大胆实践探索，注重解决关键问题和技术难题，形成可复制、可推广的经验，为下一步自然资源产权确权登记积累提供借鉴。/n　　周学文指出，试点工作启动以来，相关地区高度重视、积极探索、全力推进，在水资源确权、水生态空间确权和水流监管制度建设等方面取得了阶段性进展，形成了一批典型经验和做法，为下一步工作打下了扎实的基础。他强调，水流产权确权试点工作已进入攻坚克难的关键阶段，各试点地区务必高度重视，确保按期完成改革任务。要深入贯彻落实习近平总书记重要讲话精神和中央全面深化改革的总体部署，增强责任感和紧迫感，把试点工作抓实抓好、抓出成效。加强改革试点工作组织推动，各单位主要负责同志要亲自研究协调解决改革中的关键问题和重大难题。按照改革要求理顺部门职能关系，密切协作配合，协力推进试点工作。继续加强跟踪督导，及时分析评估试点进展情况，研究解决突出问题。注重总结提炼改革经验，摸清改革路径、方式方法和重点难点，为深入推进改革工作提供借鉴。切实加强水资源和河湖保护管理，落实最严格水资源管理制度，深入推进河长制湖长制，强化履责担当，更好地把水资源和河湖保护好、管理好。/n　　根据中央生态文明体制改革要求，经国务院同意，2016年11月，水利部、原国土资源部联合印发了《水流产权确权试点方案》，选择宁夏全区、甘肃疏勒河流域、江苏徐州市、陕西渭河、湖北宜都市和丹江口水库等区域和流域开展水流产权确权试点，力争通过2年左右时间，探索水流产权确权的路径和方法，界定权利人的责权范围和内容，着力解决所有权边界模糊，使用权归属不清，水资源和水生态空间保护难、监管难等问题，为在全国开展水流产权确权积累经验。/n　　为深入贯彻落实党的十九大精神和中央全面深化改革决策部署，加快推进水流产权确权试点工作，5月16日，水利部、自然资源部在江苏省徐州市联合召开水流产权确权试点现场推进会，认真总结试点以来工作成效，深入分析存在困难和问题，研究部署下一阶段工作。水利部副部长周学文、自然资源部副部长王广华出席会议并讲话。水利部总规划师汪安南主持会议。/n,2018-05-10,水利部、自然资源部联合召开水流产权确权试点现场推进会
　　水利部网信领导小组成员单位、部机关有关司局及部直属有关单位负责同志，原三峡办、原南水北调办有关司局负责同志，各流域机构、各省（自治区、直辖市）、新疆生产建设兵团水利（水务）厅（局）负责同志和水利网信部门负责同志参加会议。/n　　会上，部网信办作工作报告，有关单位专家作技术讲座，9个单位代表作交流发言。/n　　叶建春指出，要及时贯彻落实会议精神，结合各地的实际，查找问题和风险，深入分析讨论，把中央网信工作会议和水利网信工作会议要求落到实处。要以关键信息基础设施安全防护为重点，抓好网络安全工作，落实责任，抓住重点。水利部网信办要抓紧研究制订水利关键信息基础设施安全防护的指导意见。各地区各单位要按照标准梳理水利关键信息基础设施名录，逐个制订防护和实施方案，确保绝对安全。要扎实开展资源整合共享，编制信息资源目录，用好管好水利一张图，扎实推进水利大数据中心前期工作。要深入开展智慧水利大讨论，创新讨论方式，积极推进先行先试。他要求，各级水利部门要切实压紧压实廉政主体责任，加强干部队伍教育，严明纪律，强化监督，严格执行中央八项规定精神，不断加强廉政建设和作风建设，营造水利网信工作廉洁自律、风清气正的良好氛围，确保资金安全、干部安全、网络安全。/n　　鄂竟平指出，近年来，水利网信工作有了一定的基础，取得了一定的成绩，但总体上还不能适应水利改革与发展的需要，今后要着重在实用和安全上下功夫。在实用方面，一要紧紧盯住四大水问题，遵循“十六字”工作方针，实现透彻感知；二是要把采集数据全面互联、融合共享；三要能对数据进行深度处理、读解与评价；四要对数据进行智慧应用，实现对四大水问题现状的随时掌控、对非常状态问题的及时处置、对长期状况的评价预测。在安全方面，一要落实网络安全责任，二要提升网络安全防护能力，三要抓好关键信息基础设施网络安全，四要健全网络安全监督检查和通报机制，五要加强网络安全应急管理。部网信办要细化、实化上述五项措施。他要求各单位领导特别是一把手，要高度重视网信工作，既要重视系统建设，提供大力支持；也要重视网络宣传，各负其责，敢于面对，及时发声，正确引导。/n　　鄂竟平分析了水利系统网信工作存在的差距和风险，强调要从水利改革发展对水利网信工作的需求出发，围绕“节水优先、空间均衡、系统治理、两手发力”方针，聚焦水灾害、水资源、水环境、水生态四大水问题，重点掌握和提供洪水、干旱、水工程安全运行、水工程建设、水资源开发利用、城乡供水、节水、江河湖泊以及水土流失等九个领域的全面情况。既要有点上的情况，又要有江河、流域、区域和全国的情况；既要有现状，也要有历史情况和未来预测；既要有监测数据，又要有对数据的分析评价结果，更要有分析评价结果可能出现问题的有效应对措施和建议。要充分认识到，随着信息化水平不断提升，网络安全风险不断加大，必须坚守网络安全底线。/n　　鄂竟平指出，习近平总书记出席中央网信工作会议并作重要讲话，体现了以习近平同志为核心的党中央对网络安全和信息化工作的高度重视。习近平总书记的重要讲话，提出了一系列新思想新要求，是指导新时代网络安全和信息化发展的纲领性文献，是做好网信工作的根本遵循。我们要认真学习领会讲话的精神实质，正确认识网信工作的极端重要性，把握正确方向，突出工作重点，抓好贯彻落实，切实把思想和行动统一到中央关于网信工作的战略部署上来。/n　　6月4日—5日，2018年水利网信工作会议在京召开，贯彻落实全国网络安全和信息化工作会议精神，安排部署水利网信工作。水利部党组书记、部长鄂竟平出席会议并讲话，强调要深入学习贯彻习近平网络强国战略思想，认清网信工作形势，查找水利网信工作的差距与风险，以实用、安全为重点，不断提高水利网信工作水平。水利部副部长叶建春主持会议并作总结讲话，中央网信办总工程师赵泽良作辅导报告。/n,2018-06-07,水利网信工作会议在京召开
　　水利部、原三峡办、原南水北调办机关公务员，在京直属单位党政主要负责同志、党委副书记、纪委书记、党办主任共400余人参加本次学习。/n　　中央党校哲学部原主任庞元正教授围绕“马克思的发展思想和当代中国发展”主题，从什么是马克思所说的发展、马克思的创新发展思想与当代中国的创新发展、马克思的协调发展思想与当代中国的协调发展、马克思人与自然和谐发展思想与当代中国的绿色发展、马克思的开放发展思想与当代中国的开放发展、马克思的共享发展思想与当代中国的共享发展等六个方面充分肯定了马克思在人类思想史上的地位，全面阐释、深刻论述了马克思的发展思想，以及马克思发展思想与“创新、协调、绿色、开放、共享”新发展理念之间的关系，并对如何坚持新发展理念进行了探讨。讲座主题鲜明、重点突出，内涵丰富、信息量大，具有深刻的思想性、透彻的理论性和很强的现实针对性，对于准确把握马克思发展思想，践行新发展理念，学深悟透习近平总书记关于水利工作的重要思想具有重要的指导作用。/n　　水利部党组书记、部长鄂竟平，部党组成员、副部长雷鸣山，部党组成员、中纪委驻水利部纪检组组长田野，部党组成员、副部长周学文、叶建春参加学习。部党组成员、副部长、直属机关党委书记田学斌主持讲座。/n　　6月14日，水利部在京举办纪念马克思诞辰200周年专题学习讲座，深情缅怀马克思伟大光辉的一生，深入学习贯彻习近平总书记在纪念马克思诞辰200周年大会上的重要讲话精神，充分认识马克思主义的科学性、真理性、预见性，不断从中汲取思想营养，更加坚定马克思主义信仰，不断提高运用马克思主义基本原理解决实际问题的能力和水平。/n,2018-06-16,水利部举办纪念马克思诞辰200周年专题学习讲座
"
                                                
                                            /n",2006-09-16,全球水伙伴中国委员会伙伴大会暨节水型社会建设
"
                                                
    中国水论坛第四届学术研讨会今日在郑州大学隆重召开，水利部副总工程师庞进武，郑州大学党委书记郑永扣，国际水文科学协会副主席、国际水资源协会副主席、中国科学院地理科学与资源研究所研究员夏军，河南省水利厅副厅长于合群，河南省科技厅副厅长贾跃出席开幕式并讲话。在主席台上就座的还有中国科学院院士、北京师范大学教授、中国科学院地理科学与资源研究所研究员刘昌明，中国工程院院士、长安大学教授李佩成，国务院参事、中国勘察大师、中国建设综合勘察研究院研究员王秉忱，全国政协常委、清华大学水沙科学教育部重点实验室主任王光谦，华北水利水电学院副院长刘汉东，开幕式由郑州大学副校长高丹盈主持。

    “中国水论坛”于2003年发起，已成功举办三届学术研讨会。通过举办论坛，展示水科学领域研究成果，探讨水问题及其相关领域的基础理论、应用研究以及新技术应用等科学问题，为中国水问题的解决提供思路、方法和措施，为国家水资源开发利用的宏观战略与水资源安全提供学术讨论的平台，提出科学对策建议。通过研讨与学术交流，促进水科学的深入研究，繁荣水利事业，推进人水和谐的逐步实现，达到经济社会的可持续发展。

    中国水论坛第四届学术研讨会由郑州大学等单位承办，以“人水和谐”为主题，以“构建和谐社会”为目标，研讨“人水和谐理论与实践”。本届学术研讨会收到会议论文320篇，经审阅，论文集收录了250篇论文，作者涉及科研院所、高校、管理机构等60多个单位，其中包括美籍华人、加拿大籍华人论文2篇。特别是有一大批青年学者提交了较高水平的论文，为我国水科学研究注入新的力量。本次会议还将评选出中国水论坛2006年度十佳优秀青年论文奖。这将是一次大型、高层次、高水平的学术活动，也是我国水科学研究科技界的一次盛会。
                                            /n",2006-09-26,中国水论坛第四届学术研讨会在郑州隆重召开
"
                                                    建设部日前正式发文，通过对河海大学给水排水工程本科专业进行的教学工作评估。

　　今年5月，建设部高等教育给水排水工程专业评估委员会专家组对河海大学给水排水工程专业本科教学工作进行了全面而深入的检查。专家们认真审阅了给水排水专业的自评报告及支撑材料，考察了环境与市政工程实验中心、水力学中心、化学中心、学院资料室和学校图书馆等教学设施，召开了公共课、专业基础课、专业课教师和学生参加的4个座谈会，旁听了5门基础课和专业课，考察了学生毕业设计教室及计算机房，抽查了10门课的试卷以及认识实习报告、专业主干课程实验报告、毕业实习报告和部分毕业设计。

\　　专家组对给水排水工程专业的本科教学工作给予了高度评价。专家们一致认为，学校党政领导和各相关部门高度重视此次专业评估工作，充分利用专业评估的机遇，贯彻以评促建、以评促改、以评促管、评建结合、重在建设的原则，为给水排水工程专业的学科建设和提高教学质量奠定了基础，实现了凝聚人心、增强实力、规范管理、提升学科建设水平的目的。河海大学给水排水工程专业的教育特色主要体现在以下四个方面：一是结合水利学科优势，强化专业基础理论；二是利用相关强势学科办专业，优化课程教学体系；三是重视实践教学环节，培养学生的创新意识；四是坚持教学改革，不断完善本科人才培养方案。专家们还提出了以下建议：一是进一步加强高水平的专业教师队伍建设；二是进一步构建科学的教学体系；三是进一步加强专业实验室建设。
                                            /n",2006-10-05,河海大学给水排水工程专业通过建设部评估
